순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,투타,타점,희생번트,희생플라이
1,전민재,롯데,0.397,20,68,58,9,23,5,0,0,28,5,5,0
2,손아섭,NC,0.389,16,60,54,9,21,2,2,0,27,10,0,1
3,문보경,LG,0.380,19,84,71,17,27,3,0,4,42,19,0,2
4,박동원,LG,0.375,19,68,56,15,21,3,0,5,39,16,0,0
5,김현수,LG,0.358,19,62,53,9,19,3,0,1,25,10,0,0
6,강민호,삼성,0.348,19,74,66,7,23,7,0,0,30,14,0,1
7,카디네스,키움,0.327,15,67,52,9,17,2,1,3,30,18,0,2
8,최주환,키움,0.315,19,81,73,7,23,9,1,1,37,14,0,1
9,최형우,KIA,0.313,17,70,64,9,20,7,0,2,33,7,0,0
9,에레디아,SSG,0.313,13,57,48,6,15,0,0,1,18,6,0,1
11,레이예스,롯데,0.310,21,93,84,7,26,7,0,0,33,13,0,3
12,이주형,키움,0.308,18,77,65,10,20,3,0,2,29,6,0,0
13,류지혁,삼성,0.300,20,73,60,9,18,0,0,0,18,10,1,2
14,정수빈,두산,0.294,19,82,68,14,20,3,0,0,23,3,2,1
15,오지환,LG,0.293,19,68,58,10,17,5,0,2,28,12,3,3
16,김민혁,KT,0.292,18,72,65,7,19,3,0,0,22,4,0,0
17,허경민,KT,0.292,18,80,72,6,21,1,0,1,25,5,0,1
18,오스틴,LG,0.290,19,82,69,18,20,5,0,5,40,14,0,1
19,박민우,NC,0.289,13,51,45,6,13,4,1,0,19,3,0,0
20,양의지,두산,0.286,19,77,63,10,18,4,0,2,28,14,0,2
21,양석환,두산,0.284,18,76,67,7,19,2,0,3,30,11,0,3
22,데이비슨,NC,0.281,16,65,57,9,16,4,0,4,32,14,0,3
23,김영웅,삼성,0.276,20,82,76,8,21,2,0,3,32,14,0,2
24,권희동,NC,0.273,16,64,44,10,12,0,0,1,15,3,0,0
25,강백호,KT,0.269,19,85,78,7,21,6,0,3,36,9,0,0
25,김태연,한화,0.269,21,86,78,11,21,1,0,1,25,7,1,0
27,김민성,롯데,0.267,16,68,60,8,16,2,0,1,21,12,0,0
28,최지훈,SSG,0.265,17,77,68,9,18,2,0,1,23,7,1,2
29,박성한,SSG,0.264,16,67,53,7,14,4,0,1,21,9,1,0
29,이지영,SSG,0.264,17,60,53,5,14,3,0,1,20,4,2,1
31,채은성,한화,0.260,21,81,73,4,19,6,0,1,28,4,0,0
32,전준우,롯데,0.257,20,82,74,4,19,4,0,1,26,12,0,2
33,고명준,SSG,0.255,17,61,55,2,14,2,0,1,19,7,0,1
34,홍창기,LG,0.254,16,74,59,10,15,1,0,0,16,8,1,1
35,배정대,KT,0.254,19,72,63,4,16,3,2,1,26,9,2,2
36,이재현,삼성,0.254,20,87,67,19,17,4,0,3,30,11,1,0
37,강승호,두산,0.253,19,83,75,10,19,5,1,1,29,6,0,0
38,위즈덤,KIA,0.250,19,78,60,16,15,1,0,7,37,13,0,1
38,디아즈,삼성,0.250,20,81,76,8,19,4,0,4,35,13,0,1
38,나승엽,롯데,0.250,21,89,72,9,18,5,1,3,34,9,0,0
38,플로리얼,한화,0.250,21,94,84,9,21,8,1,1,34,14,0,1
42,이우성,KIA,0.246,17,65,57,3,14,6,0,1,23,7,0,0
43,김형준,NC,0.244,16,51,45,7,11,3,0,4,26,11,1,1
44,노시환,한화,0.244,21,89,82,12,20,2,0,5,37,15,0,0
45,나성범,KIA,0.242,19,81,66,12,16,3,0,4,31,13,0,0
46,송성문,키움,0.238,21,91,80,16,19,5,0,4,36,10,0,0
47,송찬의,LG,0.231,18,58,52,4,12,4,0,2,22,7,1,0
47,김상수,KT,0.231,17,66,52,7,12,2,0,1,17,3,0,0
49,신민재,LG,0.228,19,68,57,11,13,1,0,0,14,10,0,0
49,한유섬,SSG,0.228,17,63,57,5,13,0,0,1,16,7,1,0
51,김휘집,NC,0.222,15,52,45,6,10,1,0,3,20,8,0,0
52,푸이그,키움,0.217,21,93,83,12,18,2,0,3,29,11,0,0
53,김주원,NC,0.217,16,72,60,12,13,2,0,2,21,9,1,1
54,오태곤,SSG,0.214,17,52,42,6,9,2,0,1,14,6,2,0
55,박해민,LG,0.212,19,65,52,10,11,2,0,0,13,2,2,0
56,황영묵,한화,0.210,18,74,62,12,13,5,0,0,18,3,1,0
57,최원준,KIA,0.203,19,70,64,8,13,1,0,2,20,2,0,0
58,김재환,두산,0.200,15,61,55,7,11,2,0,1,16,6,0,0
58,로하스,KT,0.200,19,85,70,10,14,3,0,1,20,4,0,1
60,구자욱,삼성,0.195,20,87,77,15,15,5,0,4,32,14,1,1
61,장성우,KT,0.186,18,71,59,5,11,2,0,1,16,11,0,3
62,박병호,삼성,0.176,20,78,68,10,12,2,0,5,29,12,0,0
63,정준재,SSG,0.167,16,66,54,9,9,1,1,0,12,3,2,0
