순위,선수명,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
1,네일,KIA,0.29,5,2,0,0,0,1.000,31,19,0,6,2,24,1,1,0.81
2,헤이수스,KT,1.23,4,1,1,0,0,0.500,22,13,1,8,0,23,5,3,0.95
3,임찬규,LG,1.30,4,4,0,0,0,1.000,27 2/3,21,1,6,0,19,4,4,0.98
4,치리노스,LG,1.80,4,3,0,0,0,1.000,25,17,0,6,2,28,5,5,0.92
5,김도현,KIA,1.93,4,0,1,0,0,0.000,23 1/3,22,1,5,0,14,8,5,1.16
6,고영표,KT,2.28,4,1,0,0,0,1.000,23 2/3,21,1,5,2,32,6,6,1.10
7,류현진,한화,2.35,4,1,0,0,0,1.000,23,18,3,3,0,17,6,6,0.91
8,후라도,삼성,2.38,5,1,3,0,0,0.250,34,30,2,6,1,31,9,9,1.06
9,데이비슨,롯데,2.45,4,1,0,0,0,1.000,22,15,1,12,0,15,6,6,1.23
10,콜어빈,두산,2.63,4,2,1,0,0,0.667,24,20,0,7,3,24,10,7,1.13
11,문승원,SSG,2.78,4,1,1,0,0,0.500,22 2/3,16,3,7,1,10,7,7,1.01
12,폰세,한화,2.81,5,3,0,0,0,1.000,32,28,1,9,0,43,10,10,1.16
13,박세웅,롯데,3.24,4,3,1,0,0,0.750,25,22,4,7,0,30,10,9,1.16
14,쿠에바스,KT,3.28,4,1,1,0,0,0.500,24 2/3,20,3,10,1,13,9,9,1.22
15,로건,NC,3.33,4,0,2,0,0,0.000,24 1/3,20,2,9,2,20,9,9,1.19
16,오원석,KT,3.38,4,2,1,0,0,0.667,21 1/3,13,3,11,3,21,8,8,1.13
16,김광현,SSG,3.38,5,1,2,0,0,0.333,26 2/3,26,3,9,2,27,10,10,1.31
18,올러,KIA,3.75,4,2,1,0,0,0.667,24,15,1,6,3,19,12,10,0.88
19,앤더슨,SSG,3.92,4,0,2,0,0,0.000,20 2/3,19,2,8,1,32,11,9,1.31
20,최승용,두산,4.09,4,1,0,0,0,1.000,22,22,2,10,3,18,10,10,1.45
21,최원준,두산,4.15,4,0,2,0,0,0.000,21 2/3,21,3,7,0,10,11,10,1.29
22,손주영,LG,4.30,4,3,1,0,0,0.750,23,18,3,6,0,18,11,11,1.04
23,로젠버그,키움,4.66,5,2,2,0,0,0.500,29,28,4,10,2,36,18,15,1.31
24,와이스,한화,4.91,5,2,1,0,0,0.667,29 1/3,29,5,10,1,32,17,16,1.33
25,라일리,NC,5.32,4,2,1,0,0,0.667,22,14,4,15,1,28,17,13,1.32
26,반즈,롯데,5.40,5,2,3,0,0,0.400,28 1/3,32,1,9,2,26,19,17,1.45
27,에르난데스,LG,5.68,4,2,2,0,0,0.500,19,10,4,7,2,22,12,12,0.89
28,잭로그,두산,5.70,4,1,3,0,0,0.250,23 2/3,25,0,9,0,26,15,15,1.44
29,하영민,키움,6.20,5,2,3,0,0,0.400,24 2/3,38,2,7,0,23,18,17,1.82
30,양현종,KIA,6.64,4,0,3,0,0,0.000,20 1/3,26,1,9,2,16,17,15,1.72
