순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1,전민재,롯데,0.419,21,72,62,10,26,6,0,0,32,5,5,0
2,손아섭,NC,0.389,16,60,54,9,21,2,2,0,27,10,0,1
3,문보경,LG,0.373,20,89,75,18,28,3,0,5,46,20,0,2
4,박동원,LG,0.350,20,73,60,15,21,3,0,5,39,16,0,0
5,강민호,삼성,0.338,20,79,71,7,24,8,0,0,32,16,0,1
6,김현수,LG,0.333,20,67,57,9,19,3,0,1,25,10,0,0
7,카디네스,키움,0.321,16,71,56,10,18,3,1,3,32,18,0,2
8,류지혁,삼성,0.317,20,73,60,9,19,0,0,0,19,10,1,2
9,김민혁,KT,0.314,19,77,70,8,22,3,0,0,25,4,0,0
10,에레디아,SSG,0.313,13,57,48,6,15,0,0,1,18,6,0,1
11,최주환,키움,0.312,20,85,77,7,24,9,1,1,38,14,0,1
12,레이예스,롯데,0.303,22,98,89,8,27,8,0,0,35,13,0,3
13,최형우,KIA,0.294,18,74,68,9,20,7,0,2,33,7,0,0
13,정수빈,두산,0.294,19,82,68,14,20,3,0,0,23,3,2,1
15,오스틴,LG,0.290,19,82,69,18,20,5,0,5,40,14,0,1
15,이주형,키움,0.290,19,81,69,10,20,3,0,2,29,6,0,0
17,허경민,KT,0.289,19,85,76,6,22,1,0,1,26,5,0,1
18,박민우,NC,0.289,13,51,45,6,13,4,1,0,19,3,0,0
19,최지훈,SSG,0.288,18,82,73,10,21,2,0,1,26,7,1,2
20,양의지,두산,0.286,19,77,63,10,18,4,0,2,28,14,0,2
21,양석환,두산,0.284,18,76,67,7,19,2,0,3,30,11,0,3
22,데이비슨,NC,0.281,16,65,57,9,16,4,0,4,32,14,0,3
23,오지환,LG,0.279,20,71,61,10,17,5,0,2,28,12,3,3
24,채은성,한화,0.273,22,85,77,4,21,7,0,1,31,5,0,0
24,권희동,NC,0.273,16,64,44,10,12,0,0,1,15,3,0,0
26,고명준,SSG,0.271,18,65,59,2,16,2,0,1,21,8,0,1
27,강백호,KT,0.268,20,90,82,7,22,6,0,3,37,10,0,0
28,나승엽,롯데,0.267,22,93,75,11,20,6,1,3,37,9,0,0
29,김태연,한화,0.266,22,87,79,11,21,1,0,1,25,7,1,0
30,위즈덤,KIA,0.266,20,82,64,17,17,1,0,8,42,14,0,1
31,박성한,SSG,0.263,17,71,57,8,15,5,0,1,23,10,1,0
32,디아즈,삼성,0.263,21,86,80,9,21,4,0,5,40,15,0,1
33,플로리얼,한화,0.261,22,98,88,9,23,8,1,1,36,16,0,1
34,김영웅,삼성,0.259,21,87,81,8,21,2,0,3,32,14,0,2
35,이우성,KIA,0.259,18,66,58,3,15,6,0,1,24,7,0,0
36,홍창기,LG,0.258,17,79,62,10,16,1,0,0,17,9,1,2
37,전준우,롯데,0.256,21,87,78,4,20,4,0,1,27,13,0,2
38,노시환,한화,0.256,22,93,86,13,22,3,1,5,42,15,0,0
39,김민성,롯데,0.254,17,72,63,8,16,2,0,1,21,12,0,0
40,이재현,삼성,0.254,21,92,71,19,18,5,0,3,32,12,1,0
41,강승호,두산,0.253,19,83,75,10,19,5,1,1,29,6,0,0
42,송찬의,LG,0.250,19,62,56,4,14,5,0,2,25,7,1,0
42,송성문,키움,0.250,22,96,84,16,21,6,0,4,39,10,0,0
44,이지영,SSG,0.246,18,64,57,5,14,3,0,1,20,4,2,1
45,김형준,NC,0.244,16,51,45,7,11,3,0,4,26,11,1,1
46,나성범,KIA,0.243,20,86,70,12,17,4,0,4,33,15,0,0
47,배정대,KT,0.242,20,75,66,4,16,3,2,1,26,9,2,2
48,박해민,LG,0.241,20,67,54,11,13,3,0,0,16,2,2,0
49,한유섬,SSG,0.233,18,67,60,5,14,0,0,1,17,7,1,0
50,김상수,KT,0.232,18,70,56,7,13,3,0,1,19,3,0,0
51,신민재,LG,0.224,20,70,58,11,13,1,0,0,14,10,1,0
52,김휘집,NC,0.222,15,52,45,6,10,1,0,3,20,8,0,0
53,푸이그,키움,0.218,22,97,87,12,19,2,0,3,30,11,0,0
54,김주원,NC,0.217,16,72,60,12,13,2,0,2,21,9,1,1
55,구자욱,삼성,0.210,21,92,81,17,17,5,0,4,34,14,1,1
56,장성우,KT,0.210,19,75,62,6,13,2,0,1,18,11,0,3
57,최원준,KIA,0.206,20,74,68,9,14,1,0,2,21,3,0,0
58,김재환,두산,0.200,15,61,55,7,11,2,0,1,16,6,0,0
58,로하스,KT,0.200,20,90,75,10,15,3,0,1,21,4,0,1
60,황영묵,한화,0.197,19,78,66,12,13,5,0,0,18,3,1,0
61,오태곤,SSG,0.196,18,56,46,6,9,2,0,1,14,6,2,0
62,박병호,삼성,0.176,21,79,68,10,12,2,0,5,29,12,0,0
63,정준재,SSG,0.161,17,68,56,9,9,1,1,0,12,3,2,0
