팀명,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움,합계
KIA,■,12-4-0,13-3-0,6-9-1,9-7-0,6-10-0,7-8-1,11-5-0,12-4-0,11-5-0,87-55-2
삼성,4-12-0,■,8-7-1,12-4-0,7-8-1,7-9-0,10-6-0,10-6-0,10-6-0,10-6-0,78-64-2
LG,3-13-0,7-8-1,■,9-7-0,9-7-0,11-4-1,11-5-0,8-8-0,12-4-0,6-10-0,76-66-2
두산,9-6-1,4-12-0,7-9-0,■,12-4-0,7-9-0,7-8-1,6-10-0,12-4-0,10-6-0,74-68-2
KT,7-9-0,8-7-1,7-9-0,4-12-0,■,8-8-0,8-7-1,6-10-0,10-6-0,14-2-0,72-70-2
SSG,10-6-0,9-7-0,4-11-1,9-7-0,8-8-0,■,9-6-1,6-10-0,5-11-0,12-4-0,72-70-2
롯데,8-7-1,6-10-0,5-11-0,8-7-1,7-8-1,6-9-1,■,9-7-0,9-7-0,8-8-0,66-74-4
한화,5-11-0,6-10-0,8-8-0,10-6-0,10-6-0,10-6-0,7-9-0,■,4-10-2,6-10-0,66-76-2
NC,4-12-0,6-10-0,4-12-0,4-12-0,6-10-0,11-5-0,7-9-0,10-4-2,■,9-7-0,61-81-2
키움,5-11-0,6-10-0,10-6-0,6-10-0,2-14-0,4-12-0,8-8-0,10-6-0,7-9-0,■,58-86-0
