팀명,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
KIA,■,0.75,0.8125,0.375,0.5625,0.375,0.4375,0.6875,0.75,0.6875
삼성,0.25,■,0.5,0.75,0.4375,0.4375,0.625,0.625,0.625,0.625
LG,0.1875,0.4375,■,0.5625,0.5625,0.6875,0.6875,0.5,0.75,0.375
두산,0.5625,0.25,0.4375,■,0.75,0.4375,0.4375,0.375,0.75,0.625
KT,0.4375,0.5,0.4375,0.25,■,0.5,0.5,0.375,0.625,0.875
SSG,0.625,0.5625,0.25,0.5625,0.5,■,0.5625,0.375,0.3125,0.75
롯데,0.5,0.375,0.3125,0.5,0.4375,0.375,■,0.5625,0.5625,0.5
한화,0.3125,0.375,0.5,0.625,0.625,0.625,0.4375,■,0.25,0.375
NC,0.25,0.375,0.25,0.25,0.375,0.6875,0.4375,0.625,■,0.5625
키움,0.3125,0.375,0.625,0.375,0.125,0.25,0.5,0.625,0.4375,■
