areaCode,areaName1,areaName2,areaName3,announceTime,time,weather,temp,rainProb
27230510,대구광역시,북구,고성동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[18, 17, 16, 16, 16, 16, 15, 15, 17, 23, 25, 27, 27, 27, 27, 27, 28, 27, 26, 24, 23, 21, 20, 20]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
48160720,경상남도,마산시,양덕2동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[17, 17, 17, 17, 16, 16, 17, 16, 18, 19, 20, 20, 22, 23, 22, 22, 22, 21, 20, 19, 18, 17, 17, 17]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
26260590,부산광역시,동래구,사직2동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[17, 17, 16, 16, 16, 16, 17, 17, 18, 21, 22, 23, 21, 22, 21, 21, 21, 20, 19, 18, 18, 17, 17, 17]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
11470510,서울특별시,양천구,목1동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '흐림', '흐림', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[16, 16, 15, 15, 15, 14, 16, 15, 15, 15, 17, 18, 20, 20, 21, 21, 21, 20, 19, 18, 16, 16, 15, 15]","[20, 20, 20, 20, 20, 20, 30, 30, 40, 40, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
11710720,서울특별시,송파구,잠실7동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '흐림', '흐림', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[18, 17, 17, 16, 16, 15, 17, 16, 16, 17, 19, 20, 21, 22, 22, 22, 23, 22, 21, 19, 18, 17, 16, 16]","[20, 20, 20, 20, 20, 20, 30, 30, 40, 40, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
28170740,인천광역시,남구,문학동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '흐림', '흐림', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[14, 13, 13, 12, 12, 12, 14, 15, 14, 14, 15, 16, 17, 17, 17, 17, 17, 16, 15, 14, 13, 13, 12, 12]","[20, 20, 20, 20, 20, 20, 30, 30, 40, 40, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
45130680,전라북도,군산시,개정동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[16, 15, 15, 15, 15, 15, 16, 16, 17, 21, 20, 21, 21, 21, 21, 21, 20, 18, 16, 15, 14, 14, 14, 15]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
29170570,광주광역시,북구,임동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[17, 17, 16, 16, 15, 15, 17, 17, 18, 23, 23, 23, 23, 22, 22, 22, 22, 22, 21, 20, 19, 18, 17, 17]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
43113630,충청북도,청주시흥덕구,사직1동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[18, 17, 17, 17, 16, 16, 18, 17, 18, 21, 22, 23, 24, 25, 25, 25, 26, 25, 24, 21, 20, 19, 18, 17]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
30140640,대전광역시,중구,부사동,20250418110000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름조금', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음', '구름많음']","[18, 17, 16, 16, 16, 16, 14, 14, 16, 23, 23, 23, 25, 25, 25, 25, 25, 25, 23, 21, 19, 18, 16, 16]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
